Yorum,Duygu
Evet gayet başaralı ürün,1
1 günde kargo elime ulaştı teşekkür ederim,1
yeni aldım bende j serilerine 100 başar şiddetle tavsiye ederim,1
siz hesaplayın 5 ayda 2/3 kere pin kodu girmişimdir kamaranın canlı odak çekimi çok başarılı ve telefonumdan çok memnunum tavsiye ederim..,1
Samsung telefon m20 için memnun oldum başarılı dilerim,1
indirimli 1470 civarinda iken aldık güzel fiyatına göre iyi,1
Galaxy m20 'den yazıyorum.basarili şık bir telefon.almayi dusunenlere tavsiye ediyorum,1
redmi notebook 7 daha iyi ama Samsung kullanmak isteyenler alabilir,1
görünüm çoook iyi bence buna değer,1
S5 kullanıcısı olarak yeni aldığım telefona kıyasla s5 özellikleri bazıları yok ama telefon akıcı seri işlemlere anında cevap veriyor biraz ağır ama hız ses görüntü olarak süper diyebilirim. note 9 kullanan biri olarak ideal düşünmeden alın derim,1
Arkadaslar alin aldirin .. herseyi harika sarji hic bitmiyor zaten cumbaz saticidan aldim hediye kirilmaz cam yollamislar sagolsunlar iphone kullaniyordum bunca zaman neden almamisim dedim harikaaaa,1
"hızlı teslimat ve Hepsiburada güvencesi , süper",1
Güzel telefon. Şarjı uzun süre gidiyor. Android Pie güncellemesini internete bağlanınca hemen aldı. Ben memmun kaldım telefondan,1
"Ürün zaten bilinen bir ürün parasına göre mükemmel ...
Kargo ve gönderici firma mükemmel
Trabzona bir günde teslim edildi
Emeği geçen herkese teşekkürler",1
Guzel ideal orta derece bir tlf,1
on numara orta kullanımda neredeyse 2 gün gidecek pili var plastik diyenlere aldanmayın gayet sağlam,1
çok iyi,1
Abime almıştık 5 ay önce samsung türkiyeden sipariş vermiştik samsung türkiye den alınca yanında 32 gb sd kart veriyorlar abim gayet memnun bir aralar pubg oynardı hiç kasmıyordu yani şu ana kadar bir şikâyeti olmadı teşekkürler samsung türkiye,1
Ürünü alalı 3 ay oldu . Ekran kalitesi pil durumu ve kullanımı bakımından orta seviyenin en ihh telefonlarından biri .,1
ürün gayet güzel beyendık,1
Ürün güzel hızlı kasma donma yok tavsiye ederim.,1
Ürün gerçekten guzel  ama fickpack garanti yaptirin ssonra pisman olmayin telefon hafif elinizden dusurebilirsiniz,1
"Hepsiburadadan aynı gün kargo ile aldım. Sabah al, öğlen gelsin, kargocu bekleme arama, kaçırma derdi yok. Telefonu babam kullanıyor ekranı büyük olunca yazıları da büyüttüm. Güzel oldu. Fiyatına göre yeterli bir telefon tavsiye ederim.",1
ürün ve sipariş sağlam...paketleme güzel,1
Bu fiyata bu özellikte telefon.. Orta düzey kulanım için gayet uygun. En iyi tarafı şarj süresi. Kamerası fena değil.,1
iyi alışveriş oldu teşekkürler,1
olumlu,1
"ürün cidden güzel, 5-6 aydır kullanan biri olarak herhangi bir sorun ile karşılaşmadık. gayet akıcı bir tekefon.",1
Teşekkürler pazartesi sabah yola çıktı salı 16...00 da teslim edildi. Şu anda sorun yok,1
Ürün mükemmel çok hızlı kargo teşekürler,1
Valla bir tane aldık hoşumuza gitti bir tane daha aldık :D,1
"Telefon fiyatını çok fazlasıyla hakediyor aktif kullanmama rağmen 1,5 gün çok rahat gidiyor şarjı çok yüksek olmamakla birlikte beklentileri karşılıyor. Firmada ürünü hızlı ve sorunsuz gönderdi teşekkür ederim",1
iyi telefon,1
Telefonum 1 günde getirdiler ve çok memnun kaldım 2 3 haftadır kullanıyorum çok mutluyum. Kamerası performansı çok iyi tavsiye ederim. Ancak şunu belirtmemde fayda var bazen yazı yazarken klavyede felan takılma olabiliyor.,1
Tam fiyat performans telefonu,1
1 haftadır kullanıyorum memnunum bataryası sürekli oynamama rağmen geceye kadar idare ediyor.,1
çok güzel ucuz ve güvenilir,1
fiyati cok iyi geldi. aile buyuklerine aldim. sarj sikintisi ceken babam icin cok iyi geldi. 2 gun sarji rahat yetiyor. ekran buyuk gelecek kullanamayacaklar diye dusunurken cok memnunlar. ekran yazilarini buyutuncede gayet guzel oldu. hepsi buradaya tesekkurler.,1
Hızlı kargo için yeşekkürler,1
3gb ram ve 32 gb hafızali tlf alacaklar için en iyisi....,1
SEBEKE SORUNU DIYENLER YA HUAWEICI YA DA BASKA BIR MARKA VE YA KULLANDIGI HATTANDAN OLABILIR.AMA TELEFON COK IYI KAMARADA IYI CEKIYOR. KOTU CEKIYO DIYENLER AYARLAMAYI BILMIYOR GALIBA KISACASI TAVSIYE EDERIM.BU ARADA M30S CIKTI O DA SÜPER GIBI DURUYOR AMA INCELEMEK LAZIM.KISACASI TAVSIYE EDERIM,1
Urun gayet basarili hem sarj konusunda hem de diger ozelliklerde . (Tabi telefondan ne istediginize de bagli) kamerasi duzgun isikta fena bir performans sergilemiyor lakin karanlik ortamda pek guzel cekim yaptigi soylenemez yine de is gorur . 4 aydir telefonu kullaniyorum ve herhangi bir sorun yasamadim saji aktif kullanmayla 2 gun gidiyor.,1
"Kim ne derse desin telefon mükemmel. Batarya gücü harika oyun oynamıyorsanız 3. gün sonunda şarja takıyorsunuz. Boyut desen ona keza. Profesyonel kameraman ya da fotoğrafcı da değilseniz kamera da tatminkar. Yazılım güncellemeside geldi. Ne kasma var ne donma. Daha ne olsun. Orta segmentte alınabilecek, kullanılabilecek bence çokta iyi sonuç alabileceğiniz bir telefon. Oyun delisi olmayan herkese tavsiye ederim :)",1
"Telefon çok iyi. Samsung kalitesi. 13 gündür kullanıyorum.
Şiddetle tavsiye ederim. Andorid 9 ile ilgili kuşkularım var oyüzden güncelleme yapmıyorum.",1
harika pil derdi yok çok guzel,1
Hepsi burda ve hepsiexprese cok tesekkurle 1.5 de teslimat guzel urun.,1
ürün çok güzel batarya gayet ıyı pubg de hıc kasmıyo hd de oynuyom gınede kasmıyo.bence a20 telefon alcanızaa bu telefonu alın daha ıyı.,1
"Ürünü BittiBitiyor satıcısından aldım. Paketlemey biraz daha dikkat etmeliler. Paketleme daha iyi yapılabilirdi.Ürüne geldiğimizde ürünü babama aldım. Babamın hoşuna gitti. Büyük telefon sevmeyenler için uygun değil cidden büyük telefon(ama ince uzun olduğu için tek elle oynanabiliyor) Hatırladığım kadarıyla 3 güncelleme yaptım. 1 yılda iyi güncellemişler telefonu. Kamerası güzel üzmez kimseyi. Karanlıkta bi garip oluyor. Onun dışında iyi. Dün telefonu sarjtan cıkardık şuan yazıyorum %35 şarjı var. Toplam 30 saat falan oldu. Parmak izi baya hoşuma gitti takılma,bekleme gibi sorunları yok. Telefonun hoşuma giden diğer yönleride; çentiği kapatabiliyosunuz(düz bi hale getirebiliyosunuz),geri tuşu olarak kullanıdığımız üç tuşu(bunların isimlerini bilmiyorum her neyse:) ) yerlerini değiştirebiliyorsunuz yada tamamen görünmesini engelleyebiliyorsunuz. Kapattığınızda çizgiler oluşuyor onları yukarı cekince işlevlerini yerine getiriyorlar.(bu özellik çok güzel geldi bana,biraz özelleştirme veriyor size)",1
piyasada fiyat olarak  bilinen alınabilecek en iyisi bence bu cihaz gönül rahatligiyla şarjina guvenebilirsiniz çok hızlı olmasa  bile uzun ömürlü bir cihaz tavsiye ederim,1
Hızlı Kargo için Tşkler 1 gün sonra geldi...,1
bu zamanda artik telefona cok para vermeye gerek olmadigini kanitlayan oldukca basarili dahiyane bir model.. onceki telefonum aldigim donemin en iyisiydi. inanin farki yok..muthis bataryasi var.hafizasi az derseniz de harici alip takin muthis telefon,1
iyi gunler  siparis verecemde hafiza  karti yolluyor musunuz,1
Akşam sipariş verdim. sabah kargo getirdi. Teşekkürler hepsiburada. Bu fiyata ve performans cep telefonu zor bulunur. 2 aydır kullanıyorum hiçbir sorun yok. parasını fazlasıyla hak ediyor. Herkese tavsiye ederim,1
"Nihayet bir akıllı telefonun şarj sorunu çözüldü, hemde bu fiyata, internet kullanımı ile birlikte şarjı 4 gün gidiyor.",1
Teşekkürler,1
"Şarjı bitmeyen  telefon mu olur yahu.vallahi utanıp bitmeden kendim takıyorum şarja. 
Etrafındaki iphonecileri çatlatmak istiyorsan kesin al.
Yoğun kullanımda 2 gün neti kapat 10 gün gider bu şarj",1
"Ürün gayet güzel. Teslimat belirtilen zamandan önce yapıldı.

Teşekkürler",1
1 aydır kullanıyoruz tek sıkıntı yok ve paket içeriğinden 32gblik sd kart çıktı guzel,1
"Ürünüm süper hızlı bir şekilde, iyi ambalajlanmış, sağlam ve açıklamalarda anlatıldığı gibi orijinal ürün olarak elime ulaştı. Şarjı sürekli oyun oynanmıyorsa en az 2 gün gidiyor. İlk kurulumdan sonra yeni güncellemeler hemen geldi. Model olarak da kullanım ihtiyaçlarım açısından da yeterli ve zaten istediğim bir üründü ve iyi ki de almışım.Teşekkür ederim.",1
telefon oldukca iyi bataryasi uzun sureli gidiyor fotograf iyi herkese tavsiye ederim,1
her bütçeye ve kişinin  yapisina göre telefon üretiyorlar helal olsun. sirf bataryasi bir telefon eder. ama fazla hizli degil.🤨,1
telefon fiyatına göre çok iyi herkesle tavsiye ederim,1
"Herkese merhabalar. 1 aydır telefonu aktif bir şekilde kullanıyorum. Telefonun bataryası zaten söylemeye gerek yok efsane rahat 2 gün götürüyor. Telefon sosyal medyada gezinirken işlerinizi yaparken kasma donma takılma yapmıyor. Pubg Mobile'ı ilk açılışta kendisi orta ayarlarda açıyor. Ben hiç orta ayarlarda oynamadım ama düşük ve akıcı ayarda oynarken herhangi bir kasma donma veya takıma yaşanmıyor, son derece akıcı oynanıyor. Telefonun tasarımı ve görünüşü çok güzel. Ekran gayet net. Yanında hediye olarak 32 Gb Samsung Hafıza Kartı gönderildi. Telefonun paketlenmesi çok özenliydi. Her tarafı havalı poşetlerle satılmıştı. Arka kamerası gayet güzel. Portre modu hem önde hem arkada var gayet iyi çalışıyor bu segmente göre.  Arka kamera geniş açılı çekim yapabiliyor. Çok hoşuma gitti bu. Ön kamera orta seviyede, muazzam bi ön kamerası yok ama ışıklı ortamda kullanıcısını üzmez. Eyyamlamam bu kadar.",1
Aynı gün kargoya verildi. Sorunsuz olarak ürünü aldık.,1
Telefon çok kullanışlı sarj süper hızlı kargo güvenle alinabilir,1
On üzerinden 9,1
ceptelefonuonline satıcısından aldım gayet hızlı ve doğru geldi kontrol ettim kayıtlı teşekkürler,1
teşekkürler ürün gerçekten de çok iyiymiş. sipariş tam istediğim gibi geldi.,1
süper hız,1
"2 Günde elime ulaştı satıcı kaliteli kutu bandröllü ve açılmamış,kargo firması kutuda herhangibir deforme olmadan getirdi Cumbaz satıcısından aldım yanında ekran koruyucu hediye koymuşlar çok teşekkürler",1
Telefon çok güzel bu fiyata alabileceğiniz en iyi cihaz,1
"Cihazı annem için hediye olarak satın aldım. Ekran kalitesi beklediğimin çok üzerinde çıktı. Samsung'un AMOLED panelleri kadar canlı bir LCD panel kullanmışlar. Tek kendi hoparlörü biraz zayıf geldi. 100tl daha pahalı olsaydı ama kendi cihazım Galaxy S9 Plus gibi stereo olsaydı dedittirdi.

Onun dışında 5000mah bataryası telefonu elinize almadığınızda günde %2 düşüyor, buda ortalama 50 gün stamina süresi demek.. 

İşletim sistemi ilk açtığımda Android Oreo'ydu ama güncellemeleri denetle dedikten sonra Android Pie ya kendini yükseltti. Sistem tam otursun diye güncelleme sonrası recovery den wipe data/cache yapıp sıfırdan tekrar kurulumunu gerçekleştirdim.. 

Sosyal medya, video izleme istiyorum ama şarjı da iyi gitsin diyenler için biçilmiş kaftan.",1
Bittibitiyor satıcısından aldım. Daha özenli paketleme olabilirdi kutusu hafif yamulmuştu. Telefon gayet güzel şarjı süper :),1
"Polatlı’ya 1 günde ulaştı teşekkürler. Telefonu anneme aldım bataryası çok güzel, kamerası gündüz fevkalade karanlıkta biraz düşebiliyor doğal olarak bu fiyata daha iyisi olamazdı zaten teşekkürler",1
fiyatına göre gayet iyi ayrıyetten 32 gb hafıza kartı geldi. kaçak köçük işlerle uğraşmadan çocuklarınıza alınacak telefom,1
"Samsung ismine güvenerek aldım. Ve çok doğru karar verdiğimi anladım. Tavsiye ederim 👏👏👏👍👍👍 Gayet kullanışlı, bataryası harika. Babama aldım telefonu 1 ay önce.. Kendisi de çok memnun.. Satıcı firma ve HEPSİ BURADA teşekkürler",1
tek kelime ile enfes beğendim çok,1
kargo biraz gecikti paketleme vs herşey gayet güzel şarj iyi dayanıyor kamera söylenenler kadar kötü değil,1
"ürünün tek kötülüğü diye söylecek olursam; video modu tek cekim. agır hızlı çekim söyle böyle modlarını bulamadım.. kamerası hızlı cekmeye alışık bir kamera değil. ama durup foto çekerseniz net ve güzel makul kareler yakalamak mümkün. 
tek hoparlör çıkışı olmasına rağmen ses çıkışı tatmin edici.
şarj konusunda; 17dakıkada %1 düşüş oluyor. yani bu demek oluyor ki uzun süre sarj dayanıyor..
hafifliği kullanımı gayet güzel. yüz taramasıyla anlık tuş kilit açma hızı fevkalade..",1
Fiyat olarak uygun vede yapacağınız işlemlere göre super,1
iyi,1
Satıcı 10 numara orijinal ürün.,1
kesinlikle alın şarj süper,1
Çok iyi,1
Ürün gerçekten fiyatının hakkını veriyor ve herkes öneririm hafıza kartı söylendiği gibi geldi samsung tan ve süper bir şekilde paketlemişler iki kutunun içine koymuşlar telefonun özelliklerine gelirsek anlatıldığı gibi hakkını veriyor.buyuk biraz alacakların bilgisine ve koruma camı ve kılıf almanızı oneririm,1
kampanyalı olarak aldım ürünle beraber 32 gb samsung evo hafıza kartı hediye geldi tekrar verirler mi bilmiyorum ? parmak okuyucu yüz tanıma kolay çalışıyor ekran aydınlatması ışık şiddetine göre kendi ayarlıyor 2 Amperlik şarj cihazı ile geliyor ilk sarj da telefon ısınıyor paketleme gayet güzeldi günlük kullanım içi ideal giriş segmenti için ideal tavsiye ederim yanında kılıf ve ekran koruyucu almayı unutmayın.telefon hepsiburadan alınır.,1
"Xiaomi resmi note 7 ile m20 arasında kaldım ama (ses performansı isterseniz m20,kamera isterseniz note 7,pil performansı isterseniz m20,işlemci ve ram derseniz resmi note 7,ekran güzelliği ve grafik birimi isterseniz m20,arayüz isterseniz m20) benim ihtiyaçlarımın hepsini m20 karşıladığı için m20 aldım ve hiç kasmadan pil sıkıntısı olmadan(2 gün pil ömrü var) kullanıyorum",1
Fiyat performans telefonu süper. En iyisi bu.,1
Samsung a teşekkürler diğer telefonlarda ara sıra indirime giderse süper olur hafıza kartı için teşekkür ayrıca,1
hakkını veriyor fazla düşünmeden alın,1
fiyatina göre çok iyi telefon note serisinden m20 e geçmek alışmak zor oluyor ama  bu fiyata alinabilecek en iyi telefon batarya 2 gün gidiyor ısınma yok,1
"Ürünü anneme dogum gunu icin aldim ve cok begendim. 4bin 5bin tl’lik telefonlara benziyor. Parlakligi, ekran renkleri, islemci hızı ve daha bir cok özelliği cok iyi. Kargo da cok hizli geldi. Her sey mukemmel",1
Ürün hiçbir sorun çıkmadan elimize ulaştı ve gayet de güzel bir telefon; üründe de hiçbir sorun yok. Teşekkürler :),1
ekran ne küçük ne de çok büyük ideal görüntü kalitesi normal yeterli bu fiyat iyi özellikler de iyi.farklı renk seçenekleri de olsa daha iyi olacak.,1
kampanyayı tekrar bekliyorum 2 adet alacağım,1
kampanyadan aldım. İlk izlenim güzel kargo mükemmel muhafaza . kargoya verildikten 16 saat sonra elime geçti .Teşekkürler Samsung . Kampanya için de Hepsiburadaya teşekkürler. Isparta.,1
ürün oldukça fiyat performans açısından alınabilir,1
Telefon çok güzel herkese öneririm,1
gözden kaçan bir ürün rakiplerinden fiyat açısından yüksek samsung ürüne + + ekleyerek indirim yaparak çok satabilir. ornek.verecek olursak ürünü ekran kırılmada ücretsiz onarim verebilir.,1
"Alalı üç ay oldu. Şarj süresi mükemmel, kamera güzel bu fiyata alabileceğiniz en iyi telefon.",1
Satıcı firma ekran koruyucu icine koymus ;) 1gun sonra teslim oldu. Urun kamera kasa pil harika ben beğendim,1
Ürünün en iyi özelliği 5000mah batarya normal kullanımda 2 güne kadar kullanabilirsiniz. Ekran olsun kamera olsun bu fiyata alınabilecek güzel telefon. Şu an a70 kullanıyorum. a70e göre bu telefon bayağı kalın ve hantal.,1
telefonun özelliğine diyecek birşey yok sıkıntısız elimize ulaştı. değinmek istediğim konu elimize ulaşma süresi pazartesi kargoya verildi salı günü ulaştı. emeği geçen herkese teşekkürler.,1
Bence fiyatına göre çok iyi bir telefon 👏👏👍 pili gayet uzun ömürlü. 3 gün bile sürüyor tek şarjla. Her hangi bir problem yok 👍👍 Gayet başarılı bir telefon,1
2 günde geldi hızlı ve özenli kargo için teşekkürler,1
gelecekbizde mağazadan aldım memnun kaldım bir günde elime ulaştı paketleme güzeldi korunaklı göndermişler hoşuma gitti tavsiye ederim,1
sepette indirim yapmayı düşünüyormusunuz  yakın zamanda,1
fiyatına göre alınacak en iyi telefon diyebilirim.satıcıda bekletmeyip zamanında kargomu gönderdi,1
Fiyatına ve özelliğine göre çok iyi,1
gayet  başarılı :) izmir,1
Samsung Galaxy M20 32 GB (Samsung Türkiye Garantili... ıyi çok güzel,1
arkadaslar hepsiburadan gönül rahatligiyla alisveris yapabilirsiniz 2 adet j6 plas aldim 2 adet a7 2018 aldim son olarak 2 adet m20 aldim cumagünü siparis verdim cumartesi geldi cihazim icinde hediye olarak haviza karti cikmada biri samsung yolladi birinide bittibitiyor yolladi parasina göre cok ideal bir cihaz a20 mi m20 mi tabiki m20 derim,1
Sade ve akıcı bi tasarımı var. Gayet kullanışlı ve pil ömrü standartın 2 katı,1
ürün yeni elime geçti telefondan memnun kaldım.ama çözüm konusunda hizmet sıfır,1
Ürün harika ötesi güzel elimden hiç düişmüyor  harika bir cihaz üretmiş samsung bu sefer yapmış,1
Fiyat/Performans olarak değerlendirildiğinde gerçekten çok başarılı bir cihaz. 5000 mAh batarya sayesinde telefonu 2 gün şarja takmadan rahatlıkla kullanabiliyorum.,1
İndirime girince kaçırmadım ve siparişim de hızla teslim edildi. Teşekkürler...,1
Telefon gayet güzel. şarjı 2 gün rahat gidiyor. 2 saat civarı bir sürede tam doluyor. dokunmatiği baya hızlı. Veri indirme hızıda güzel. Kamerası normal denilebilir. yalnız biriyle konuşurken ses dışardan duyulabiliyor en düşüğe getiriyorum yine duyuluyor.onun dışında on numara telefon.,1
Telefonu bugün aldım. Fiyatına göre çok iyi. İnşallah sıkıntı yaşamadan kullanırım.,1
Bir günde elime ulaştı.Paketlenmesi harika.Telefonum gayet güzel.Kullanması Kurulumu kolay.Emeği Geçen Tüm Çalışanlara Teşekkür Ederim.,1
Ürün geldiğinde ekranında problem olduğunu farkettim Samsung müşteri hizmetini aradım yardımcı olamadılar hepsiburada sorunumu çözdü telefonu iade aldı bende tekrardan sipariş verdim bu sefer sorunsuz geldi memnunum telefondan,1
"telefonu Hepsiburada firmasından almadım. fakat size bütün + ve - si ile anlatacağım. öncelikle bataryadan başlayacağım. batarya 5000 mAh olması gayet güzel. ama lityum polimer pil olması kötü çünkü lityum polimer piller çabuk ölür,yani siz bunu 1 günde Max 1 kez şarj edebilirsiniz ve şarjda uğraşmamalısınız. ram olarak bence gayet yeterli , istediğiniz uygulamayı ve oyunu indirip oynayabilirsiniz. depolama konusunda gayet iyi ve sd kart desteği gerçekten harika çünkü yeni nesil telefonlarda ince ve zarif olması için sd karta yer verilmiyor bu telefon hem ince hem sd kart desteği var. kamera olarak ise fotoğraflar ve videolar gerçekten harika, Samsung'un kameraları zaten oldum olası müthiş performans veriyor. yüz tanıma ve parmak izi okuyucusu olması harika olmuş.hızlı şarj desteği olması gayet güzel 30 dakikada %48 şarj oluyor. bazı telefonlarda uygulama hata verdiğinde yanıt vermeyi kestiğinde telefonun arayüzü de dönüyor ve kasıyor. ama bu telefonda henüz öyle bir şey görmedim. ekran büyüklüğü gayet yeterli ve istediğiniz filmi diziyi yüksek çözünürlükte izleyebilirsiniz. yeni nesil ıpc ekran takmaları iyi olmuş. donanıma bakınca bu fiyata nasıl böyle bir donanım takmışlar diyor insan. bence kaçırılmayacak bir fırsat. zahmet Edip okuyan herkese teşekkür ederim.",1
samsung türkiyenin kendi sitesi üzerinden peşin fiyatina 12 taksitle aldim bundan önce lg g4 kullaniyorum bataryasi çok kötüydü günde 3 defa şarj ediyordum.m20 aldım bataryası için.sarj konusunu artık hiç kafama takmıyorum batarya beni 2 gün götürüyor daha ne olsun.parmak izi okuyucu çok hızlı yuz tanimada çok hızlı çalışıyor tavsiye ederim...,1
"Telefonun hiçbir eksiği yok, fazlası var. Bu fiyata böyle bir telefon varken m10 bile alınmaz.",1
Ürün güzel,1
Çok iyi bu paraya,1
Benim telefonum bozulunca acele pek araştırmadan M20 alayım dedim. Başka siteden bir hafta ürün göndermeyince iptal edip buradan indirimde aldım. 4 gündür kullanıyorum fiyatına göre çok iyi şarjı hala bitmedi. Oyun oynuyorum sosyal medyaya giriyorum. Teşekkürler hepsiburada,1
"Babam için aldık. Kurulumunu ve güncellemelerini hemen yaptık. Değil babam ben bile kullanabilirim bu telefonu, çok beğendim (İphone 6 kullanıcısıyım) Kargo güzel kutulanmıştı ve hızlıydı. Teşekkürler.",1
"Bu fiyata bu telefon gerçekten çok iyi. Bataryası, hızı, ekranı, gayet iyi daha ne olsun. Kesinlikle fiyat/performans ürünü. Pişman olmazsınız.",1
Fiyatı uygun geldi. Özelliklerine göre gayet ucuz. Tereddüt ederek alsam da pişman olmadım.,1
Samsung Türkiye den indirimde iken aldım.  Memnun kaldım. Ürün ihtiyacımızı karşılıyor. Batarya iyi.,1
Bir iPhone ve Samsung kullanıcısı olarak diyebilirim ki ürün gayet başarılı Samsung garantili ürünü alırken Satıcının Samsung olmasına dikkat ediniz benim aldığım ürün hem kampanyadan çok iyi fiyata geldi hemde ürün direk Samsung dan siyah Samsung orijinal kutusunun içinde geldi.,1
çok güzel bir model tavsiye ederim herkese,1
Telefonu babama aldım. F/P olarak bence 1. Sırada. Ürün güzel paketlenmiş ve kargolanmış. Orijinal ürün.,1
"Samsung Turkiye'den satin aldim, gayet guzel paketlenmis bir sekilde geldi. Telefon parasina guzel, temel ihtiyaclari karsiliyor. Bu paraya en iyisini beklememek lazim. Gayet guzel temiz bir cihaz. Tavsiye ederim kesinlikle.",1
1 günde yozgattan hataya geldi hızlı kargo ve temiz alışveriş için teşekkür ederim gsmport,1
Urun güzel temiz geldi çok çok teşekkürler HB.com,1
bugün itibarıyla andorid  9 (pie) aldı,1
"Sayın İlgili,
Daha öncesinden İnternet üzerinden daha önce hiç alış veriş yapmamıştım. İlk defa buradan yapıyorum. 
Ürünün ilgili firma tarafından özenle paketlenmiş olup, samsung'a özel kutusu ile gönderdiğiniz ve  teşekkür ederim.
Son olarak İlgili firma güvenilir ve sorumluluk bilinçi ile çalıştığınız için teşekkür ederim...
Saygılarımla",1
telefon güzel işe yarıyor oyun oynayan sosyal medyada takılan biri için iyi bir telefon,1
telefon dün elime ulaştı ve herşeyiyle mükemmel bir cihaz önceden iphone 7 kullanmıştım aynı hissi hatta daha üstünü uyandırıyor kullanımda yüz tanıma ve parmak okuyucusu gayet hızlı işliyor kesinlikle tavsiye ederim şarjı tüm gün kulandım ve hala yüzde 65 gün sonunda iki gün u rahat çıkartır 5000 map ..daha ne olsun ..,1
çarşamba günü sipariş verdim orda yaizıyor salı gunu gelcek hani 24 saate kargodaydı,1
Kargo ile ilgili sorunumu ikiletmeden çözdüğünüz için çok teşekkür ederim. Ürüne gelince tam bir fiyat performans ürünü tek kelime ile şahane.,1
